	0
LOC109396977	0
LOC109396978	0
LOC109396980	0
LOC109396981	0
LOC109396983	0
LOC109396984	0
LOC109396985	0
LOC109396987	0
LOC109396990	0
LOC109396991	1
LOC109396992	0
LOC109396993	0
LOC109396995	0
LOC109396996	0
LOC109396997	0
LOC109396999	0
LOC109397000	0
LOC109397001	0
LOC109397002	0
LOC109397003	0
LOC109397004	0
LOC109397005	0
LOC109397006	0
LOC109397009	0
LOC109397010	0
LOC109397011	0
LOC109397012	0
LOC109397013	0
LOC109397016	0
LOC109397020	0
LOC109397024	0
LOC109397025	0
LOC109397026	0
LOC109397027	1
LOC109397029	0
LOC109397031	2
LOC109397032	0
LOC109397034	2
LOC109397035	0
LOC109397036	0
LOC109397037	0
LOC109397041	0
LOC109397046	0
LOC109397047	0
LOC109397048	0
LOC109397051	0
LOC109397053	0
LOC109397056	2
LOC109397057	5
LOC109397058	0
LOC109397064	0
LOC109397065	0
LOC109397066	0
LOC109397070	2
LOC109397072	0
LOC109397079	0
LOC109397080	3
LOC109397081	3
LOC109397086	0
LOC109397091	0
LOC109397093	0
LOC109397094	0
LOC109397095	0
LOC109397096	2
LOC109397097	4
LOC109397098	0
LOC109397100	1
LOC109397105	0
LOC109397116	0
LOC109397117	0
LOC109397118	0
LOC109397119	1
LOC109397120	0
LOC109397121	0
LOC109397122	0
LOC109397123	0
LOC109397125	0
LOC109397126	0
LOC109397127	0
LOC109397128	0
LOC109397129	0
LOC109397130	0
LOC109397131	9
LOC109397138	1
LOC109397140	0
LOC109397143	0
LOC109397145	0
LOC109397146	1
LOC109397148	0
LOC109397149	0
LOC109397151	0
LOC109397157	0
LOC109397159	0
LOC109397160	1
LOC109397161	0
LOC109397170	0
LOC109397172	0
LOC109397173	0
LOC109397180	0
LOC109397182	0
LOC109397183	0
LOC109397184	0
LOC109397185	0
LOC109397187	2
LOC109397188	0
LOC109397189	2
LOC109397190	0
LOC109397192	0
LOC109397194	0
LOC109397196	0
LOC109397197	0
LOC109397198	0
LOC109397201	0
LOC109397202	0
LOC109397203	0
LOC109397204	0
LOC109397205	0
LOC109397206	0
LOC109397208	0
LOC109397212	0
LOC109397213	0
LOC109397214	0
LOC109397215	0
LOC109397216	0
LOC109397218	0
LOC109397219	0
LOC109397221	0
LOC109397226	0
LOC109397228	0
LOC109397229	0
LOC109397232	2
LOC109397234	0
LOC109397235	0
LOC109397236	1
LOC109397239	0
LOC109397240	0
LOC109397241	0
LOC109397242	0
LOC109397245	0
LOC109397248	0
LOC109397249	0
LOC109397252	0
LOC109397253	0
LOC109397254	0
LOC109397255	0
LOC109397257	0
LOC109397260	0
LOC109397264	0
LOC109397265	0
LOC109397268	0
LOC109397269	0
LOC109397270	0
LOC109397271	0
LOC109397272	0
LOC109397273	0
LOC109397277	0
LOC109397278	0
LOC109397279	0
LOC109397283	0
LOC109397285	0
LOC109397288	0
LOC109397289	0
LOC109397290	0
LOC109397291	0
LOC109397292	0
LOC109397293	0
LOC109397294	0
LOC109397295	1
LOC109397296	0
LOC109397298	0
LOC109397300	0
LOC109397301	0
LOC109397302	0
LOC109397304	0
LOC109397306	0
LOC109397307	0
LOC109397309	0
LOC109397310	0
LOC109397311	0
LOC109397312	0
LOC109397318	0
LOC109397319	0
LOC109397320	0
LOC109397322	0
LOC109397324	0
LOC109397326	0
LOC109397329	0
LOC109397330	0
LOC109397331	0
LOC109397336	0
LOC109397337	0
LOC109397338	0
LOC109397339	1
LOC109397340	0
LOC109397341	0
LOC109397344	0
LOC109397345	0
LOC109397349	0
LOC109397351	0
LOC109397352	0
LOC109397353	0
LOC109397354	0
LOC109397356	0
LOC109397358	0
LOC109397359	3
LOC109397360	4
LOC109397362	0
LOC109397363	0
LOC109397364	0
LOC109397366	0
LOC109397368	0
LOC109397369	0
LOC109397381	0
LOC109397386	0
LOC109397390	0
LOC109397392	1
LOC109397406	0
LOC109397407	0
LOC109397409	1
LOC109397413	0
LOC109397414	0
LOC109397417	0
LOC109397419	0
LOC109397420	0
LOC109397421	0
LOC109397422	0
LOC109397423	0
LOC109397426	0
LOC109397437	0
LOC109397439	0
LOC109397441	0
LOC109397444	0
LOC109397448	0
LOC109397449	0
LOC109397454	0
LOC109397465	0
LOC109397470	0
LOC109397473	0
LOC109397475	0
LOC109397477	0
LOC109397478	0
LOC109397481	0
LOC109397482	0
LOC109397483	0
LOC109397485	0
LOC109397487	0
LOC109397489	0
LOC109397490	0
LOC109397491	0
LOC109397492	1
LOC109397494	0
LOC109397495	1
LOC109397496	0
LOC109397497	0
LOC109397498	0
LOC109397500	0
LOC109397502	0
LOC109397503	0
LOC109397504	0
LOC109397509	0
LOC109397513	0
LOC109397515	0
LOC109397517	0
LOC109397518	0
LOC109397519	0
LOC109397520	1
LOC109397521	0
LOC109397522	0
LOC109397523	0
LOC109397524	0
LOC109397526	1
LOC109397528	0
LOC109397529	2
LOC109397530	2
LOC109397532	0
LOC109397533	0
LOC109397534	0
LOC109397538	0
LOC109397539	0
LOC109397548	0
LOC109397549	0
LOC109397551	0
LOC109397552	0
LOC109397553	0
LOC109397554	0
LOC109397555	0
LOC109397556	0
LOC109397559	0
LOC109397563	0
LOC109397567	0
LOC109397569	0
LOC109397574	0
LOC109397575	2
LOC109397576	1
LOC109397579	0
LOC109397585	0
LOC109397588	0
LOC109397591	0
LOC109397594	2
LOC109397595	0
LOC109397596	0
LOC109397598	0
LOC109397600	0
LOC109397603	0
LOC109397606	1
LOC109397607	0
LOC109397609	1
LOC109397611	0
LOC109397612	0
LOC109397614	0
LOC109397621	0
LOC109397624	0
LOC109397627	0
LOC109397628	0
LOC109397630	0
LOC109397631	0
LOC109397632	0
LOC109397633	0
LOC109397635	0
LOC109397636	0
LOC109397637	0
LOC109397638	0
LOC109397641	0
LOC109397642	0
LOC109397643	0
LOC109397644	0
LOC109397646	2
LOC109397647	0
LOC109397652	0
LOC109397653	0
LOC109397654	0
LOC109397655	0
LOC109397657	0
LOC109397658	0
LOC109397659	0
LOC109397660	0
LOC109397661	0
LOC109397662	0
LOC109397663	0
LOC109397668	0
LOC109397669	0
LOC109397671	0
LOC109397675	0
LOC109397677	0
LOC109397682	0
LOC109397683	23
LOC109397684	0
LOC109397688	0
LOC109397689	0
LOC109397692	0
LOC109397693	0
LOC109397694	0
LOC109397695	4
LOC109397697	0
LOC109397698	0
LOC109397699	0
LOC109397703	0
LOC109397704	0
LOC109397705	0
LOC109397706	0
LOC109397708	0
LOC109397710	0
LOC109397712	0
LOC109397715	0
LOC109397716	0
LOC109397717	0
